CustomerID,Segment,Age,Country,Plan,ContractType,AutoRenew,TenureMonths,MonthlyCharges,Upgrades,Downgrades,IsPromoEligible,LoginsLast30d,SessionsPerUserLastMonth,PeakUsageTimeOfDay,ActiveDaysLastMonth,LastLoginDaysAgo,UsageTrend3m_Hours,AvgMonthlyUsageHours,SupportTicketsPerMonth,NPS,PaymentDelayDays,FailedPayments_12m,TotalSpend,Churn
C00029,Individual,18,UK,Standard,Monthly,1,54.21679339,20.06,0,1,0,18,2.3,Night,17,22,100.7,22.42018874,0,19,3,0,740.75,0
C00030,Individual,52,UK,Basic,Monthly,1,41.95194179,97.82,0,1,0,15,1.9,Afternoon,21,20,114.6,41.48278269,0,-1,2,3,4515.02,1
C00031,Individual,42,Germany,Standard,Quarterly,1,33.92410167,73.91,3,0,0,11,4.9,Morning,8,28,103.9,23.07125134,1,-25,2,2,2226.18,1
C00032,Individual,46,Canada,Premium,Quarterly,1,45.18615259,136.68,0,0,0,20,3.2,Evening,24,50,78.6,114.8550525,1,37,2,2,7308.58,0
C00033,Individual,40,Canada,Premium,Annual,1,19.1790353,132.93,1,0,0,15,4,Evening,7,11,25.7,58.20537245,0,-5,1,2,3145.18,1
C00034,Enterprise,35,UK,Basic,Annual,1,7.307031791,142.37,0,0,0,22,5.4,Evening,26,22,74.1,47.65120055,2,-21,2,0,520.07,1
C00035,Enterprise,31,USA,Basic,Monthly,1,23.80688772,104.84,0,1,1,21,9.8,Morning,23,35,148.9,4.037042143,1,28,2,0,3215.99,0
C00036,SmallBiz,34,Germany,Premium,Monthly,1,53.28133032,31.03,1,1,1,21,5.9,Evening,20,22,179,184.3492235,2,57,2,1,1551.02,0
C00037,Individual,19,USA,Standard,Annual,1,45.36226799,105.62,0,0,0,25,6.3,Morning,14,24,82.8,55.90340588,0,57,1,0,3864.71,0
C00038,Individual,48,UK,Standard,Annual,1,4.110587898,177.05,1,0,1,34,6,Evening,27,37,171,30.76630882,0,58,4,1,2515.82,1
C00039,SmallBiz,36,Canada,Standard,Monthly,1,51.56719793,72.47,1,1,1,14,9,Afternoon,18,30,183.3,3.868384804,2,-17,3,0,2797.86,0
C00040,Individual,49,USA,Standard,Monthly,1,1.578251241,178.37,1,1,0,30,3.8,Afternoon,13,10,76.2,4.02502517,1,62,3,1,503.13,1
C00041,Individual,45,India,Standard,Quarterly,1,8.99092435,143.54,1,0,0,18,5.2,Afternoon,15,31,106.5,24.91396538,1,32,2,2,1127.34,1
C00042,Individual,58,USA,Standard,Monthly,1,62.19149253,190.22,1,1,0,17,8.6,Night,17,24,20.8,120.6600329,3,-21,3,2,9231.31,0
C00043,Individual,25,Canada,Basic,Annual,1,54.72112092,102.74,1,0,0,13,4.8,Night,10,0,51.7,148.2613706,0,17,3,1,5776.43,0
C00044,Enterprise,59,UK,Standard,Annual,1,15.13073406,62.98,0,0,1,19,8.8,Evening,22,26,87.5,4.337727134,1,48,2,1,494.03,1
C00045,Individual,58,USA,Standard,Annual,1,1,23.91,0,0,1,16,3.8,Morning,20,23,25.8,28.10779258,2,13,5,1,19.92,1
C00046,SmallBiz,57,UK,Premium,Monthly,0,42.7048907,11.55,0,1,0,21,5.8,Afternoon,13,11,146.7,141.8594191,0,-36,0,0,565.5,0
C00047,Individual,56,Germany,Premium,Annual,1,53.47280671,181.8,0,1,1,19,4.1,Afternoon,17,24,175.1,79.68465951,0,-37,5,4,7607.47,0
C00048,Individual,39,India,Basic,Quarterly,1,36.18974913,117.24,1,1,1,15,4.6,Night,21,12,171.1,101.9322061,0,98,4,0,5022.04,0
C00049,Individual,41,Canada,Standard,Monthly,1,55.61715335,30.4,1,0,0,17,0.1,Afternoon,29,0,157.1,75.13815479,1,18,4,1,1487.03,0
C00050,Individual,55,Canada,Premium,Monthly,1,43.85165516,76.71,1,0,1,24,2.3,Night,18,7,153.7,148.7054342,1,24,3,0,3606.03,0
C00051,Enterprise,19,UK,Basic,Monthly,1,22.95633109,121.21,1,2,0,23,5.7,Afternoon,20,0,143,172.2499817,1,10,0,1,3578.6,0
C00052,SmallBiz,58,India,Premium,Quarterly,1,38.84893277,185.19,1,0,0,14,9.5,Night,16,0,174,9.964213708,1,45,1,2,9690.33,0
C00053,Enterprise,58,Canada,Standard,Monthly,0,11.87636537,150.83,0,0,1,28,9.2,Evening,17,49,195.2,85.53501973,2,-21,3,2,2107.32,0
C00054,SmallBiz,36,USA,Basic,Monthly,1,48.93976755,89.57,0,0,1,17,8.3,Night,11,39,60.8,164.2392815,2,20,7,2,5407.58,0
C00055,Individual,58,Canada,Standard,Annual,1,40.30961642,17.56,0,0,0,22,9.5,Afternoon,17,29,49.6,20.05394078,3,18,3,1,595.72,0
C00056,Enterprise,19,USA,Premium,Annual,1,6.762093649,131.88,0,1,0,24,9.1,Morning,14,18,136.6,182.7345926,1,41,1,0,2269.91,0
C00057,Individual,45,Canada,Basic,Quarterly,1,26.50968124,79.24,0,0,0,27,1.3,Morning,26,27,134.5,53.59844005,1,28,5,0,783.05,0
C00058,Individual,49,USA,Standard,Quarterly,1,46.10565224,23.3,2,0,1,14,8.9,Morning,24,0,86.7,63.45429163,3,-17,0,2,1467.08,0
C00059,Individual,36,Germany,Basic,Quarterly,1,28.01245018,167.77,0,0,1,18,8.8,Afternoon,19,24,3.7,103.3406284,0,-52,3,2,5448.12,0
C00060,Individual,33,UK,Basic,Annual,1,59.49571445,187.94,0,0,0,17,3.2,Afternoon,15,0,14.9,49.05094986,0,79,0,2,12981.78,1
C00061,Individual,47,Germany,Basic,Annual,0,36.87584327,109.95,0,0,1,24,2.4,Evening,20,0,103.7,68.35285362,1,-12,0,3,4043.47,1
C00062,Individual,39,USA,Basic,Monthly,1,12.23866336,32.03,2,0,0,18,0.6,Evening,27,33,177,40.05839126,4,4,3,1,276.69,1
C00063,SmallBiz,31,UK,Premium,Monthly,1,26.41363785,86.46,1,0,0,24,0.8,Night,28,33,126.5,1.494864356,1,21,2,2,2838.62,0
C00064,Individual,69,India,Standard,Quarterly,0,40.41094682,24.67,0,1,0,22,7.5,Night,18,20,155.7,5.713871512,4,-41,2,0,912.7,0
C00065,Individual,18,USA,Standard,Monthly,1,18.76657834,162.35,0,0,0,20,5.1,Evening,30,28,163.8,121.2284663,2,22,2,4,2874.51,0
C00066,Individual,62,Canada,Basic,Monthly,1,52.42608189,112.81,1,0,0,20,2.7,Night,19,24,61.3,178.075458,0,-1,2,0,5688.56,0
C00067,Individual,19,Canada,Standard,Annual,1,4.731593533,84.74,0,0,0,23,1.6,Evening,15,40,141.9,80.25772018,1,3,4,2,850.61,1
C00068,SmallBiz,39,India,Basic,Annual,1,50.9007903,148.68,0,1,0,12,6.4,Afternoon,17,0,74.8,124.4291878,1,-17,0,2,7843.94,0
C00069,Individual,63,Germany,Standard,Monthly,1,18.47247342,169.02,1,0,1,22,0.2,Morning,21,0,145.8,90.45819188,2,-70,2,2,4045.07,0
C00070,Enterprise,50,USA,Basic,Monthly,1,19.54252439,158.75,3,0,0,30,9.9,Evening,8,38,12.9,18.45731154,1,43,1,1,3615.35,1
C00071,SmallBiz,32,Canada,Basic,Monthly,1,37.13912843,166.01,0,1,0,15,0.5,Evening,30,8,187.6,188.5882744,4,7,1,2,7328.48,0
C00072,Individual,67,UK,Premium,Monthly,1,1,174.91,0,1,1,21,0.7,Evening,30,0,52.6,48.64856274,0,24,1,0,1207.16,1
C00073,Individual,58,India,Basic,Monthly,1,17.38114357,98.98,1,0,1,18,3.6,Night,18,32,95.6,112.3076078,3,44,3,1,1508.07,0
C00074,SmallBiz,39,Germany,Standard,Quarterly,1,17.37482205,135.26,0,1,0,20,2.5,Afternoon,23,16,158.1,110.0818326,3,14,2,1,4258.23,0
C00075,SmallBiz,57,Germany,Basic,Monthly,1,55.75156839,122.18,1,0,1,17,2.7,Afternoon,15,17,2.3,84.94680826,3,19,3,1,6663.69,1
C00076,SmallBiz,56,UK,Basic,Quarterly,0,14.88799714,34.29,0,0,0,27,1.1,Morning,19,24,2.9,11.35039026,2,67,3,1,262.33,1
C00077,SmallBiz,58,UK,Basic,Monthly,1,23.2568226,55.41,1,0,0,22,7.5,Afternoon,20,0,176.8,82.52514306,2,-42,2,2,1244.74,0
C00078,Individual,58,India,Premium,Annual,0,56.12585258,42.64,1,0,1,19,1.1,Evening,23,0,180.7,75.80488196,0,24,2,3,2453.35,0
C00079,Individual,28,UK,Premium,Monthly,1,55.0402548,133.34,0,0,0,15,3.7,Afternoon,21,0,4.2,42.42906538,2,51,2,1,5693.32,0
C00080,Individual,21,Canada,Basic,Quarterly,1,17.0252587,174.01,1,0,1,23,4,Morning,16,13,89.2,44.18028472,1,-11,1,0,1841.97,0
C00081,SmallBiz,24,Germany,Standard,Monthly,0,38.75798404,154.09,1,0,0,11,9.3,Afternoon,18,8,36.5,164.6180267,2,-27,2,2,4916.28,0
C00082,Individual,38,UK,Standard,Annual,1,7.632620597,81.67,1,0,1,23,9.5,Morning,16,20,179.9,35.56010468,1,40,2,1,494.63,1
C00083,Individual,24,USA,Basic,Quarterly,0,18.1090515,135.04,1,0,0,27,6.8,Morning,18,31,126.8,4.825888083,2,-41,1,1,1947.29,0
C00084,Individual,21,UK,Basic,Quarterly,1,18.03589636,87.89,1,2,0,16,4.8,Afternoon,13,21,18.6,190.8169379,2,44,6,0,938.87,0
C00085,Individual,29,Germany,Standard,Quarterly,1,52.9479058,62.15,0,1,0,17,7.1,Night,18,6,87.8,105.1575981,2,-40,1,0,2686.05,0
C00086,Individual,44,Canada,Standard,Annual,1,8.55741083,179.77,0,1,0,17,6,Night,19,0,163.8,169.7808824,1,23,1,1,3512.7,0
C00087,SmallBiz,34,UK,Basic,Quarterly,1,13.58639302,48.89,0,0,0,26,2.1,Night,20,15,158.4,162.909768,2,19,2,1,987.83,0
C00088,Individual,37,Canada,Standard,Quarterly,0,7.454001447,130.54,0,0,0,22,1.9,Morning,14,28,61.9,2.041362349,1,3,1,0,630.81,1
C00089,SmallBiz,48,USA,Premium,Monthly,1,24.54325996,152.62,0,0,0,14,2.7,Afternoon,30,31,86.2,148.6764258,2,-1,5,1,3484.57,0
C00090,Individual,43,Germany,Basic,Annual,0,9.148178222,127.52,3,0,0,19,7,Morning,16,21,49.9,28.86576805,3,17,4,2,2155.37,0
C00091,Individual,48,India,Basic,Quarterly,0,53.48941085,32.82,0,0,0,18,9.2,Evening,7,26,193.1,8.942750282,2,28,1,1,1692.1,1
C00092,SmallBiz,52,Germany,Premium,Monthly,0,58.84176676,61.23,1,0,0,23,8.5,Night,30,26,69.9,128.6791356,1,-12,1,1,3444.23,0
C00093,SmallBiz,26,India,Basic,Quarterly,1,17.59201736,12.77,1,0,1,20,3.1,Evening,20,7,3.2,94.9699595,2,-5,2,3,162.02,1
C00094,Individual,22,India,Standard,Quarterly,1,55.86320462,154.15,0,0,0,8,7.4,Afternoon,23,18,95.8,191.9900406,1,-16,2,1,11205.39,0
C00095,SmallBiz,69,Germany,Standard,Monthly,1,3.096200075,45.16,2,0,0,20,3.6,Night,17,27,116,66.37535848,1,79,2,1,415.54,1
C00096,Individual,65,India,Basic,Monthly,1,29.39911921,172.68,0,3,1,15,6.3,Afternoon,23,9,21.8,40.48984081,1,4,3,1,4700.52,0
C00097,Individual,25,Canada,Basic,Quarterly,0,7.938523042,41.44,1,0,0,20,2.2,Afternoon,21,41,76,67.8107858,3,-3,4,3,302.59,1
C00098,Individual,38,USA,Standard,Monthly,1,28.55469837,80.64,0,0,0,23,8.5,Night,16,26,3.1,44.90883422,3,53,1,0,2898.04,0
C00099,Individual,33,UK,Basic,Annual,1,34.05462026,37.01,1,1,0,29,8.4,Evening,28,53,9.7,132.5228824,1,100,3,5,1363.15,0
C00100,Individual,68,India,Premium,Monthly,0,46.64481284,111.22,0,0,0,20,2.6,Afternoon,30,56,149.5,120.9528984,1,35,3,1,4502.25,0
C00101,Individual,33,India,Standard,Quarterly,1,18.34841022,122.82,0,1,0,17,5.3,Evening,22,2,114,68.06087921,2,-19,1,2,2462.69,0
C00102,Individual,35,Germany,Basic,Monthly,1,15.12069133,53.41,0,0,1,22,4.8,Evening,20,0,108.8,200.7117417,1,42,1,0,764.12,0
C00103,Individual,64,Canada,Basic,Monthly,1,27.02382531,87.38,0,1,0,22,3.8,Afternoon,17,6,34.2,88.28508067,1,-19,3,1,3408.78,0
C00104,Individual,45,UK,Standard,Quarterly,1,17.39854873,32.25,2,1,0,21,3.6,Evening,16,22,174.3,50.19932512,0,34,1,1,756.56,0
C00105,Enterprise,35,India,Standard,Monthly,1,1,159.69,2,0,0,22,5.4,Morning,26,45,9.5,56.08628257,1,12,2,0,731.89,1
C00106,Individual,31,Canada,Standard,Quarterly,0,15.41114106,159.45,0,1,0,23,3,Evening,29,0,131,42.81314838,0,58,1,1,2918.45,0
C00107,Individual,65,UK,Basic,Monthly,1,32.03430463,59.11,0,0,0,18,6.1,Morning,13,29,52.9,197.1973316,2,-28,3,1,1839.92,0
C00108,SmallBiz,54,Germany,Standard,Annual,1,45.67309684,60.2,0,2,0,19,0.5,Afternoon,23,7,183.5,148.33708,1,-11,4,4,2738.29,0
C00109,Individual,57,India,Premium,Monthly,1,13.25143675,125.83,0,1,1,19,4.3,Afternoon,12,2,181.9,41.44953762,1,-9,1,0,3607.84,0
C00110,Individual,33,Germany,Standard,Monthly,1,11.42104498,125.71,1,1,0,22,9.1,Night,12,27,146.3,32.69824059,2,14,1,2,403.57,1
C00111,Individual,38,Germany,Basic,Quarterly,1,9.953992868,149.33,0,0,1,20,8,Morning,21,32,27.4,33.8399415,1,-5,2,2,1686.24,1
C00112,Individual,18,India,Premium,Annual,1,26.24808391,28.34,0,1,0,16,4.5,Night,17,39,147.9,107.0259947,0,6,4,1,1074.5,0
C00113,Enterprise,28,Canada,Basic,Annual,1,66.65820899,137.68,1,0,0,19,0,Night,15,13,44.1,11.56331423,0,-25,1,2,10364.63,0
C00114,SmallBiz,28,Canada,Standard,Monthly,1,31.95473983,149.75,1,0,1,18,2.6,Night,28,36,108.3,137.9891966,6,58,0,0,5313.38,0
C00115,Individual,19,Germany,Premium,Monthly,0,9.129139281,62.99,0,0,0,23,4.6,Evening,27,38,84.9,22.80477249,2,-33,0,1,420.28,1
C00116,SmallBiz,49,Germany,Standard,Quarterly,1,14.21648709,59.05,1,1,0,14,1.6,Evening,24,34,194.3,23.8519629,1,17,3,0,740.52,0
C00117,SmallBiz,36,USA,Standard,Annual,0,41.46882836,136.28,0,1,0,15,7.4,Evening,14,41,136.3,9.977209058,3,32,2,1,5962.64,0
C00118,Individual,22,UK,Premium,Monthly,0,4.883214471,32.15,0,0,1,27,3.9,Evening,22,28,115.1,65.09441258,1,19,4,0,453.53,1
C00119,SmallBiz,20,Germany,Standard,Monthly,1,23.40206025,112.9,0,1,0,9,9,Night,24,16,104.8,28.36714574,3,3,3,3,1317.88,1
C00120,Individual,45,Germany,Basic,Monthly,1,29.42853684,105.36,0,0,0,26,3.3,Morning,7,18,90.9,20.44130159,4,89,0,1,2685.93,1
C00121,SmallBiz,43,UK,Basic,Monthly,0,17.76387147,137.78,0,0,1,20,0.8,Morning,24,12,80.9,97.03324258,3,59,3,0,2504.81,0
C00122,SmallBiz,40,India,Basic,Monthly,1,8.07591047,125.17,2,1,1,26,7.3,Evening,30,18,7.9,24.90085297,1,-7,0,3,1049.82,1
C00123,Individual,47,Canada,Standard,Monthly,1,56.57954863,164.73,3,1,1,17,9.3,Evening,27,25,186.2,145.3147387,2,43,2,1,9377.54,0
C00124,Individual,25,India,Basic,Quarterly,1,48.62959237,21.57,0,1,0,20,5.6,Afternoon,11,14,50.8,33.34340021,4,-33,2,0,831.5,0
C00125,Individual,53,UK,Premium,Monthly,1,19.14039321,132.87,0,0,0,18,6.5,Evening,26,20,30.4,0.745292992,1,65,1,0,3097.9,0
C00126,Individual,46,UK,Basic,Annual,1,1.872949475,146.35,2,1,1,20,6.8,Afternoon,25,10,13.7,2.321292418,4,0,1,0,371.81,1
C00127,SmallBiz,30,USA,Standard,Quarterly,1,29.32031036,160.57,1,1,0,19,2.4,Morning,25,10,29.3,28.71056934,1,27,2,1,4571.81,0
C00128,SmallBiz,42,USA,Premium,Monthly,1,37.34462926,80.33,1,0,1,19,5.1,Night,25,50,199.8,21.50908611,1,1,0,3,3122.63,1
C00129,Individual,39,Canada,Standard,Quarterly,1,48.34230292,65.57,0,2,1,29,6.1,Morning,22,46,46.3,59.28451016,3,25,1,1,2106.53,0
C00130,Individual,63,Germany,Basic,Annual,1,49.40070533,136.28,1,0,0,14,5.1,Night,26,47,151.6,59.39098061,2,-9,2,2,6900.44,0
C00131,Individual,50,UK,Premium,Monthly,0,30.11537088,107.86,1,0,1,13,8.6,Morning,16,15,72.8,13.95259905,0,-40,4,1,4028.47,0
C00132,Individual,54,USA,Basic,Quarterly,1,6.455932586,81.5,1,2,0,19,0.5,Night,20,42,115.3,202.91795,0,1,3,1,1670.77,0
C00133,Individual,24,India,Basic,Monthly,0,29.361586,151.56,0,1,0,22,1.9,Night,25,24,51.6,3.861027293,1,27,4,0,3893.82,0
C00134,Individual,40,USA,Basic,Monthly,1,26.37597915,101.41,0,0,1,28,3,Night,19,17,137.2,115.1170626,1,40,2,0,2141.8,0
C00135,Enterprise,23,India,Standard,Quarterly,0,16.56976331,97.01,1,1,1,23,7.2,Evening,10,3,128.3,190.6343584,1,6,5,2,2191.25,0
C00136,Individual,32,USA,Standard,Quarterly,1,38.42793849,78.12,1,0,1,20,5.6,Afternoon,27,9,156.4,47.70626773,3,-27,2,0,3943.26,0
C00137,Individual,32,India,Basic,Quarterly,1,23.75185292,19.32,1,1,1,25,4.4,Evening,23,25,115.8,185.4588273,1,9,1,0,459.79,0
C00138,SmallBiz,57,USA,Premium,Annual,1,35.45116931,168.38,1,0,0,29,4.4,Morning,23,47,119,107.5429416,1,-20,2,1,5845.07,0
C00139,Individual,51,USA,Basic,Annual,1,63.016973,75.12,0,0,0,16,8.5,Night,6,34,9.7,17.82565367,1,2,3,0,4110.49,1
C00140,Enterprise,31,Canada,Basic,Annual,1,1,92.95,0,0,0,17,7.7,Evening,11,16,123,26.18822882,0,1,4,0,388.19,1
C00141,Enterprise,46,Germany,Standard,Quarterly,1,51.79226655,32.44,2,0,0,20,3.1,Morning,23,23,66.6,93.25920645,1,64,1,2,1864.74,0
C00142,Individual,33,UK,Standard,Monthly,1,45.90529002,126.61,3,1,0,19,5.7,Morning,11,38,92.3,192.8633695,1,-43,2,0,4848.5,0
C00143,Individual,46,Germany,Basic,Quarterly,1,40.96303032,122.96,1,0,0,15,8.7,Morning,18,0,174.3,175.0955938,4,-36,2,0,5327.93,0
C00144,Individual,40,Canada,Basic,Monthly,1,18.26730252,67.82,0,1,0,22,0.5,Morning,21,12,46.7,19.99583379,2,14,5,0,1440.82,0
C00145,Individual,27,India,Standard,Monthly,1,52.15995427,78.05,0,0,0,22,1,Morning,18,13,160.9,44.81307682,2,63,1,2,4051.1,0
C00146,Individual,64,Germany,Standard,Monthly,0,19.02379704,152.34,0,0,0,21,6.5,Night,8,16,21.9,27.42428064,3,-30,4,0,3592.04,1
C00147,Individual,21,UK,Basic,Quarterly,0,35.49142576,111.52,0,0,1,12,5.1,Afternoon,24,0,160.5,30.50645554,3,-2,0,1,3470.72,0
C00148,Individual,29,UK,Basic,Quarterly,1,8.049882936,57.52,2,0,0,30,7.2,Night,22,28,182.8,28.70359226,2,61,3,1,174.97,1
C00149,Individual,59,India,Basic,Annual,1,25.20392229,117.11,0,0,1,22,0.8,Night,11,25,198.4,58.47823825,0,46,2,2,1512.62,0
C00150,Individual,51,UK,Standard,Annual,1,50.9817398,176.24,0,0,1,14,2.1,Night,28,19,58.5,137.2165766,1,-13,3,0,9385,0
C00151,Enterprise,21,Canada,Basic,Quarterly,1,41.71274163,199.36,0,1,0,7,5.7,Morning,24,39,91.8,68.86154405,2,-9,0,0,8355.93,0
C00152,Individual,37,Germany,Basic,Monthly,1,32.69393547,27.21,0,0,0,17,8,Morning,23,40,174.8,23.29839947,4,-45,6,0,1215.83,0
C00153,Individual,45,UK,Basic,Monthly,0,39.33408346,95.07,0,0,0,11,6.4,Evening,10,13,186.8,155.5458768,1,47,3,2,2677.06,0
C00154,Individual,45,Germany,Basic,Monthly,1,45.7577923,94.91,0,1,1,13,6.5,Night,18,52,36.4,196.4152066,1,24,0,2,4693.79,0
C00155,Enterprise,23,USA,Standard,Monthly,0,26.35838617,189.33,0,1,0,26,2.8,Night,29,1,161.1,151.3134503,1,-6,0,0,6589.1,0
C00156,Individual,31,Germany,Basic,Annual,1,20.19709098,184.85,0,1,0,29,7.8,Afternoon,16,0,25.2,3.048806569,1,9,2,0,2536.85,0
C00157,SmallBiz,52,India,Basic,Annual,1,11.04059742,95.36,0,1,0,26,1.5,Morning,30,28,170.1,75.02993876,3,9,3,2,1093.22,1
C00158,SmallBiz,64,Canada,Basic,Monthly,1,34.13103593,60.96,0,1,0,21,7.2,Morning,15,36,112,127.8934731,2,-24,3,0,2400.35,0
C00159,Individual,18,UK,Standard,Monthly,1,14.79624788,132.52,1,0,0,27,1.1,Morning,24,25,13.1,69.8852651,3,-19,1,2,610.95,1
C00160,SmallBiz,36,Canada,Standard,Quarterly,0,20.90451519,32.9,1,0,0,23,8.5,Morning,14,22,186.2,39.91382907,3,-35,3,2,705.03,0
C00161,Individual,18,Germany,Basic,Monthly,1,33.16703795,48.66,1,0,1,22,4.1,Morning,17,28,24.5,95.48332371,0,25,4,0,1950.97,0
C00162,Individual,30,UK,Basic,Annual,1,21.86741003,166.18,1,1,0,17,0.2,Morning,19,0,154.4,114.1448031,1,-53,5,0,3953.82,0
C00163,Individual,25,Canada,Standard,Monthly,1,5.025359374,169.15,0,0,0,21,2.9,Morning,11,11,120.6,10.97940563,0,83,4,1,2300.78,1
C00164,Individual,35,India,Basic,Monthly,1,28.01298182,181.9,0,1,0,22,9.3,Afternoon,18,21,157.7,161.5272688,2,-32,1,0,7712.3,0
C00165,Individual,52,USA,Basic,Quarterly,0,24.8427556,151.66,1,0,1,25,9.6,Evening,30,38,149.4,72.92259751,2,-8,2,0,4446.38,0
C00166,SmallBiz,40,USA,Standard,Monthly,0,33.10432605,41.71,1,0,0,25,5.6,Morning,18,5,19.6,155.7750632,2,28,3,0,993.65,0
C00167,Individual,67,India,Standard,Annual,0,9.79902128,65.4,1,0,0,27,0.6,Evening,18,16,104.2,57.44752204,4,-28,5,4,782.89,1
C00168,Individual,69,USA,Standard,Quarterly,1,30.65683867,97.96,0,1,0,19,2.1,Night,11,42,170.3,12.05184166,1,31,0,2,2754.49,0
C00169,Individual,43,India,Standard,Annual,1,42.14667777,70.75,1,0,1,30,4.5,Evening,23,14,124.3,33.05664078,1,30,5,0,2727.48,0
C00170,Individual,58,Germany,Premium,Quarterly,0,14.44431595,111.48,1,0,0,19,6.5,Morning,21,3,60.8,179.4158978,2,-18,2,0,1706.25,0
