CustomerID,Gender,Age,Country,Plan,ContractType,AutoRenew,TenureMonths,MonthlyCharges,Upgrades,Downgrades,IsPromoEligible,LoginsLast30d,SessionsPerUserLastMonth,PeakUsageTimeOfDay,ActiveDaysLastMonth,LastLoginDaysAgo,UsageTrend3m_Hours,AvgMonthlyUsageHours,SupportTicketsPerMonth,NPS,PaymentDelayDays,FailedPayments_12m,TotalSpend,Churn
C00061,M,47,Germany,Basic,Annual,0,36.88,109.95,0,0,1,24,2.4,Evening,20,0,103.7,68.35,1,-12,0,3,4043.47,1
C00062,M,39,USA,Basic,Monthly,1,12.24,32.03,2,0,0,18,0.6,Evening,27,33,177,40.06,4,4,3,1,276.69,1
C00063,M,31,UK,Premium,Monthly,1,26.41,86.46,1,0,0,24,0.8,Night,28,33,126.5,1.49,1,21,2,2,2838.62,0
C00064,M,69,India,Standard,Quarterly,0,40.41,24.67,0,1,0,22,7.5,Night,18,20,155.7,5.71,4,-41,2,0,912.7,0
C00065,M,18,USA,Standard,Monthly,1,18.77,162.35,0,0,0,20,5.1,Evening,30,28,163.8,121.23,2,22,2,4,2874.51,0
C00066,F,62,Canada,Basic,Monthly,1,52.43,112.81,1,0,0,20,2.7,Night,19,24,61.3,178.08,0,-1,2,0,5688.56,0
C00067,F,19,Canada,Standard,Annual,1,4.73,84.74,0,0,0,23,1.6,Evening,15,40,141.9,80.26,1,3,4,2,850.61,1
C00068,M,39,India,Basic,Annual,1,50.9,148.68,0,1,0,12,6.4,Afternoon,17,0,74.8,124.43,1,-17,0,2,7843.94,0
C00069,F,63,Germany,Standard,Monthly,1,18.47,169.02,1,0,1,22,0.2,Morning,21,0,145.8,90.46,2,-70,2,2,4045.07,0
C00070,F,50,USA,Basic,Monthly,1,19.54,158.75,3,0,0,30,9.9,Evening,8,38,12.9,18.46,1,43,1,1,3615.35,1
C00071,F,32,Canada,Basic,Monthly,1,37.14,166.01,0,1,0,15,0.5,Evening,30,8,187.6,188.59,4,7,1,2,7328.48,0
C00072,F,67,UK,Premium,Monthly,1,1,174.91,0,1,1,21,0.7,Evening,30,0,52.6,48.65,0,24,1,0,1207.16,1
C00073,M,58,India,Basic,Monthly,1,17.38,98.98,1,0,1,18,3.6,Night,18,32,95.6,112.31,3,44,3,1,1508.07,0
C00074,F,39,Germany,Standard,Quarterly,1,17.37,135.26,0,1,0,20,2.5,Afternoon,23,16,158.1,110.08,3,14,2,1,4258.23,0
C00075,M,57,Germany,Basic,Monthly,1,55.75,122.18,1,0,1,17,2.7,Afternoon,15,17,2.3,84.95,3,19,3,1,6663.69,1
C00076,F,56,UK,Basic,Quarterly,0,14.89,34.29,0,0,0,27,1.1,Morning,19,24,2.9,11.35,2,67,3,1,262.33,1
C00077,F,58,UK,Basic,Monthly,1,23.26,55.41,1,0,0,22,7.5,Afternoon,20,0,176.8,82.53,2,-42,2,2,1244.74,0
C00078,F,58,India,Premium,Annual,0,56.13,42.64,1,0,1,19,1.1,Evening,23,0,180.7,75.8,0,24,2,3,2453.35,0
C00079,M,28,UK,Premium,Monthly,1,55.04,133.34,0,0,0,15,3.7,Afternoon,21,0,4.2,42.43,2,51,2,1,5693.32,0
C00080,F,21,Canada,Basic,Quarterly,1,17.03,174.01,1,0,1,23,4,Morning,16,13,89.2,44.18,1,-11,1,0,1841.97,0
C00081,M,24,Germany,Standard,Monthly,0,38.76,154.09,1,0,0,11,9.3,Afternoon,18,8,36.5,164.62,2,-27,2,2,4916.28,0
C00082,F,38,UK,Standard,Annual,1,7.63,81.67,1,0,1,23,9.5,Morning,16,20,179.9,35.56,1,40,2,1,494.63,1
C00083,M,24,USA,Basic,Quarterly,0,18.11,135.04,1,0,0,27,6.8,Morning,18,31,126.8,4.83,2,-41,1,1,1947.29,0
C00084,F,21,UK,Basic,Quarterly,1,18.04,87.89,1,2,0,16,4.8,Afternoon,13,21,18.6,190.82,2,44,6,0,938.87,0
C00085,M,29,Germany,Standard,Quarterly,1,52.95,62.15,0,1,0,17,7.1,Night,18,6,87.8,105.16,2,-40,1,0,2686.05,0
C00086,M,44,Canada,Standard,Annual,1,8.56,179.77,0,1,0,17,6,Night,19,0,163.8,169.78,1,23,1,1,3512.7,0
C00087,F,34,UK,Basic,Quarterly,1,13.59,48.89,0,0,0,26,2.1,Night,20,15,158.4,162.91,2,19,2,1,987.83,0
C00088,M,37,Canada,Standard,Quarterly,0,7.45,130.54,0,0,0,22,1.9,Morning,14,28,61.9,2.04,1,3,1,0,630.81,1
C00089,F,48,USA,Premium,Monthly,1,24.54,152.62,0,0,0,14,2.7,Afternoon,30,31,86.2,148.68,2,-1,5,1,3484.57,0
C00090,F,43,Germany,Basic,Annual,0,9.15,127.52,3,0,0,19,7,Morning,16,21,49.9,28.87,3,17,4,2,2155.37,0
C00091,F,48,India,Basic,Quarterly,0,53.49,32.82,0,0,0,18,9.2,Evening,7,26,193.1,8.94,2,28,1,1,1692.1,1
C00092,F,52,Germany,Premium,Monthly,0,58.84,61.23,1,0,0,23,8.5,Night,30,26,69.9,128.68,1,-12,1,1,3444.23,0
C00093,F,26,India,Basic,Quarterly,1,17.59,12.77,1,0,1,20,3.1,Evening,20,7,3.2,94.97,2,-5,2,3,162.02,1
C00094,F,22,India,Standard,Quarterly,1,55.86,154.15,0,0,0,8,7.4,Afternoon,23,18,95.8,191.99,1,-16,2,1,11205.39,0
C00095,F,69,Germany,Standard,Monthly,1,3.1,45.16,2,0,0,20,3.6,Night,17,27,116,66.38,1,79,2,1,415.54,1
C00096,F,65,India,Basic,Monthly,1,29.4,172.68,0,3,1,15,6.3,Afternoon,23,9,21.8,40.49,1,4,3,1,4700.52,0
C00097,F,25,Canada,Basic,Quarterly,0,7.94,41.44,1,0,0,20,2.2,Afternoon,21,41,76,67.81,3,-3,4,3,302.59,1
C00098,F,38,USA,Standard,Monthly,1,28.55,80.64,0,0,0,23,8.5,Night,16,26,3.1,44.91,3,53,1,0,2898.04,0
C00099,F,33,UK,Basic,Annual,1,34.05,37.01,1,1,0,29,8.4,Evening,28,53,9.7,132.52,1,100,3,5,1363.15,0
C00100,M,68,India,Premium,Monthly,0,46.64,111.22,0,0,0,20,2.6,Afternoon,30,56,149.5,120.95,1,35,3,1,4502.25,0
C00101,M,33,India,Standard,Quarterly,1,18.35,122.82,0,1,0,17,5.3,Evening,22,2,114,68.06,2,-19,1,2,2462.69,0
C00102,F,35,Germany,Basic,Monthly,1,15.12,53.41,0,0,1,22,4.8,Evening,20,0,108.8,200.71,1,42,1,0,764.12,0
C00103,F,64,Canada,Basic,Monthly,1,27.02,87.38,0,1,0,22,3.8,Afternoon,17,6,34.2,88.29,1,-19,3,1,3408.78,0
C00104,F,45,UK,Standard,Quarterly,1,17.4,32.25,2,1,0,21,3.6,Evening,16,22,174.3,50.2,0,34,1,1,756.56,0
C00105,F,35,India,Standard,Monthly,1,1,159.69,2,0,0,22,5.4,Morning,26,45,9.5,56.09,1,12,2,0,731.89,1
C00106,F,31,Canada,Standard,Quarterly,0,15.41,159.45,0,1,0,23,3,Evening,29,0,131,42.81,0,58,1,1,2918.45,0
C00107,F,65,UK,Basic,Monthly,1,32.03,59.11,0,0,0,18,6.1,Morning,13,29,52.9,197.2,2,-28,3,1,1839.92,0
C00108,F,54,Germany,Standard,Annual,1,45.67,60.2,0,2,0,19,0.5,Afternoon,23,7,183.5,148.34,1,-11,4,4,2738.29,0
C00109,F,57,India,Premium,Monthly,1,13.25,125.83,0,1,1,19,4.3,Afternoon,12,2,181.9,41.45,1,-9,1,0,3607.84,0
C00110,M,33,Germany,Standard,Monthly,1,11.42,125.71,1,1,0,22,9.1,Night,12,27,146.3,32.7,2,14,1,2,403.57,1
C00111,F,38,Germany,Basic,Quarterly,1,9.95,149.33,0,0,1,20,8,Morning,21,32,27.4,33.84,1,-5,2,2,1686.24,1
C00112,M,18,India,Premium,Annual,1,26.25,28.34,0,1,0,16,4.5,Night,17,39,147.9,107.03,0,6,4,1,1074.5,0
C00113,F,28,Canada,Basic,Annual,1,66.66,137.68,1,0,0,19,0,Night,15,13,44.1,11.56,0,-25,1,2,10364.63,0
C00114,F,28,Canada,Standard,Monthly,1,31.95,149.75,1,0,1,18,2.6,Night,28,36,108.3,137.99,6,58,0,0,5313.38,0
C00115,M,19,Germany,Premium,Monthly,0,9.13,62.99,0,0,0,23,4.6,Evening,27,38,84.9,22.8,2,-33,0,1,420.28,1
C00116,F,49,Germany,Standard,Quarterly,1,14.22,59.05,1,1,0,14,1.6,Evening,24,34,194.3,23.85,1,17,3,0,740.52,0
C00117,M,36,USA,Standard,Annual,0,41.47,136.28,0,1,0,15,7.4,Evening,14,41,136.3,9.98,3,32,2,1,5962.64,0
C00118,F,22,UK,Premium,Monthly,0,4.88,32.15,0,0,1,27,3.9,Evening,22,28,115.1,65.09,1,19,4,0,453.53,1
C00119,F,20,Germany,Standard,Monthly,1,23.4,112.9,0,1,0,9,9,Night,24,16,104.8,28.37,3,3,3,3,1317.88,1
C00120,M,45,Germany,Basic,Monthly,1,29.43,105.36,0,0,0,26,3.3,Morning,7,18,90.9,20.44,4,89,0,1,2685.93,1
C00121,F,43,UK,Basic,Monthly,0,17.76,137.78,0,0,1,20,0.8,Morning,24,12,80.9,97.03,3,59,3,0,2504.81,0
C00122,M,40,India,Basic,Monthly,1,8.08,125.17,2,1,1,26,7.3,Evening,30,18,7.9,24.9,1,-7,0,3,1049.82,1
C00123,F,47,Canada,Standard,Monthly,1,56.58,164.73,3,1,1,17,9.3,Evening,27,25,186.2,145.31,2,43,2,1,9377.54,0
C00124,M,25,India,Basic,Quarterly,1,48.63,21.57,0,1,0,20,5.6,Afternoon,11,14,50.8,33.34,4,-33,2,0,831.5,0
C00125,M,53,UK,Premium,Monthly,1,19.14,132.87,0,0,0,18,6.5,Evening,26,20,30.4,0.75,1,65,1,0,3097.9,0
C00126,F,46,UK,Basic,Annual,1,1.87,146.35,2,1,1,20,6.8,Afternoon,25,10,13.7,2.32,4,0,1,0,371.81,1
C00127,F,30,USA,Standard,Quarterly,1,29.32,160.57,1,1,0,19,2.4,Morning,25,10,29.3,28.71,1,27,2,1,4571.81,0
C00128,M,42,USA,Premium,Monthly,1,37.34,80.33,1,0,1,19,5.1,Night,25,50,199.8,21.51,1,1,0,3,3122.63,1
C00129,F,39,Canada,Standard,Quarterly,1,48.34,65.57,0,2,1,29,6.1,Morning,22,46,46.3,59.28,3,25,1,1,2106.53,0
C00130,F,63,Germany,Basic,Annual,1,49.4,136.28,1,0,0,14,5.1,Night,26,47,151.6,59.39,2,-9,2,2,6900.44,0
C00131,F,50,UK,Premium,Monthly,0,30.12,107.86,1,0,1,13,8.6,Morning,16,15,72.8,13.95,0,-40,4,1,4028.47,0
C00132,M,54,USA,Basic,Quarterly,1,6.46,81.5,1,2,0,19,0.5,Night,20,42,115.3,202.92,0,1,3,1,1670.77,0
C00133,M,24,India,Basic,Monthly,0,29.36,151.56,0,1,0,22,1.9,Night,25,24,51.6,3.86,1,27,4,0,3893.82,0
C00134,M,40,USA,Basic,Monthly,1,26.38,101.41,0,0,1,28,3,Night,19,17,137.2,115.12,1,40,2,0,2141.8,0
C00135,M,23,India,Standard,Quarterly,0,16.57,97.01,1,1,1,23,7.2,Evening,10,3,128.3,190.63,1,6,5,2,2191.25,0
C00136,M,32,USA,Standard,Quarterly,1,38.43,78.12,1,0,1,20,5.6,Afternoon,27,9,156.4,47.71,3,-27,2,0,3943.26,0
C00137,M,32,India,Basic,Quarterly,1,23.75,19.32,1,1,1,25,4.4,Evening,23,25,115.8,185.46,1,9,1,0,459.79,0
C00138,M,57,USA,Premium,Annual,1,35.45,168.38,1,0,0,29,4.4,Morning,23,47,119,107.54,1,-20,2,1,5845.07,0
C00139,M,51,USA,Basic,Annual,1,63.02,75.12,0,0,0,16,8.5,Night,6,34,9.7,17.83,1,2,3,0,4110.49,1
C00140,M,31,Canada,Basic,Annual,1,1,92.95,0,0,0,17,7.7,Evening,11,16,123,26.19,0,1,4,0,388.19,1
C00141,F,46,Germany,Standard,Quarterly,1,51.79,32.44,2,0,0,20,3.1,Morning,23,23,66.6,93.26,1,64,1,2,1864.74,0
C00142,M,33,UK,Standard,Monthly,1,45.91,126.61,3,1,0,19,5.7,Morning,11,38,92.3,192.86,1,-43,2,0,4848.5,0
C00143,F,46,Germany,Basic,Quarterly,1,40.96,122.96,1,0,0,15,8.7,Morning,18,0,174.3,175.1,4,-36,2,0,5327.93,0
C00144,F,40,Canada,Basic,Monthly,1,18.27,67.82,0,1,0,22,0.5,Morning,21,12,46.7,20,2,14,5,0,1440.82,0
C00145,F,27,India,Standard,Monthly,1,52.16,78.05,0,0,0,22,1,Morning,18,13,160.9,44.81,2,63,1,2,4051.1,0
C00146,M,64,Germany,Standard,Monthly,0,19.02,152.34,0,0,0,21,6.5,Night,8,16,21.9,27.42,3,-30,4,0,3592.04,1
C00147,M,21,UK,Basic,Quarterly,0,35.49,111.52,0,0,1,12,5.1,Afternoon,24,0,160.5,30.51,3,-2,0,1,3470.72,0
C00148,M,29,UK,Basic,Quarterly,1,8.05,57.52,2,0,0,30,7.2,Night,22,28,182.8,28.7,2,61,3,1,174.97,1
C00149,M,59,India,Basic,Annual,1,25.2,117.11,0,0,1,22,0.8,Night,11,25,198.4,58.48,0,46,2,2,1512.62,0
C00150,F,51,UK,Standard,Annual,1,50.98,176.24,0,0,1,14,2.1,Night,28,19,58.5,137.22,1,-13,3,0,9385,0
C00151,M,21,Canada,Basic,Quarterly,1,41.71,199.36,0,1,0,7,5.7,Morning,24,39,91.8,68.86,2,-9,0,0,8355.93,0
C00152,M,37,Germany,Basic,Monthly,1,32.69,27.21,0,0,0,17,8,Morning,23,40,174.8,23.3,4,-45,6,0,1215.83,0
C00153,M,45,UK,Basic,Monthly,0,39.33,95.07,0,0,0,11,6.4,Evening,10,13,186.8,155.55,1,47,3,2,2677.06,0
C00154,M,45,Germany,Basic,Monthly,1,45.76,94.91,0,1,1,13,6.5,Night,18,52,36.4,196.42,1,24,0,2,4693.79,0
C00155,M,23,USA,Standard,Monthly,0,26.36,189.33,0,1,0,26,2.8,Night,29,1,161.1,151.31,1,-6,0,0,6589.1,0
C00156,F,31,Germany,Basic,Annual,1,20.2,184.85,0,1,0,29,7.8,Afternoon,16,0,25.2,3.05,1,9,2,0,2536.85,0
C00157,M,52,India,Basic,Annual,1,11.04,95.36,0,1,0,26,1.5,Morning,30,28,170.1,75.03,3,9,3,2,1093.22,1
C00158,F,64,Canada,Basic,Monthly,1,34.13,60.96,0,1,0,21,7.2,Morning,15,36,112,127.89,2,-24,3,0,2400.35,0
C00159,M,18,UK,Standard,Monthly,1,14.8,132.52,1,0,0,27,1.1,Morning,24,25,13.1,69.89,3,-19,1,2,610.95,1
C00160,F,36,Canada,Standard,Quarterly,0,20.9,32.9,1,0,0,23,8.5,Morning,14,22,186.2,39.91,3,-35,3,2,705.03,0
C00161,M,18,Germany,Basic,Monthly,1,33.17,48.66,1,0,1,22,4.1,Morning,17,28,24.5,95.48,0,25,4,0,1950.97,0
C00162,M,30,UK,Basic,Annual,1,21.87,166.18,1,1,0,17,0.2,Morning,19,0,154.4,114.14,1,-53,5,0,3953.82,0
C00163,F,25,Canada,Standard,Monthly,1,5.03,169.15,0,0,0,21,2.9,Morning,11,11,120.6,10.98,0,83,4,1,2300.78,1
C00164,F,35,India,Basic,Monthly,1,28.01,181.9,0,1,0,22,9.3,Afternoon,18,21,157.7,161.53,2,-32,1,0,7712.3,0
C00165,F,52,USA,Basic,Quarterly,0,24.84,151.66,1,0,1,25,9.6,Evening,30,38,149.4,72.92,2,-8,2,0,4446.38,0
C00166,M,40,USA,Standard,Monthly,0,33.1,41.71,1,0,0,25,5.6,Morning,18,5,19.6,155.78,2,28,3,0,993.65,0
C00167,F,67,India,Standard,Annual,0,9.8,65.4,1,0,0,27,0.6,Evening,18,16,104.2,57.45,4,-28,5,4,782.89,1
C00168,M,69,USA,Standard,Quarterly,1,30.66,97.96,0,1,0,19,2.1,Night,11,42,170.3,12.05,1,31,0,2,2754.49,0
C00169,M,43,India,Standard,Annual,1,42.15,70.75,1,0,1,30,4.5,Evening,23,14,124.3,33.06,1,30,5,0,2727.48,0
C00170,F,58,Germany,Premium,Quarterly,0,14.44,111.48,1,0,0,19,6.5,Morning,21,3,60.8,179.42,2,-18,2,0,1706.25,0
C00171,F,55,India,Standard,Quarterly,1,14.87,28.02,0,1,1,29,5.5,Morning,18,19,179.6,68.9,4,13,3,1,248.54,1
C00172,M,37,USA,Basic,Monthly,0,43.67,190.9,1,0,1,19,0.4,Night,14,21,156.1,181.39,2,44,1,0,8051.41,0
C00173,M,19,Germany,Standard,Quarterly,0,35.72,196.09,0,0,0,20,7.7,Morning,13,28,194.7,18.29,2,9,2,1,8697.45,0
C00174,F,43,India,Standard,Quarterly,0,36.25,23.93,0,0,1,18,0.4,Evening,20,21,186.4,158.01,3,37,2,2,1117.31,0
C00175,F,53,India,Basic,Monthly,1,9.77,17.67,1,0,0,27,6,Night,20,2,193.2,4.41,0,-19,2,1,21.88,1
C00176,F,42,Germany,Basic,Monthly,1,24.79,102.56,0,1,0,19,4.2,Evening,15,4,1.7,35.36,2,26,1,3,2178.86,1
C00177,M,47,UK,Basic,Monthly,0,52.28,37.26,0,0,0,20,1.7,Afternoon,8,26,184.3,28.42,1,29,3,0,2317.47,1
C00178,M,35,USA,Basic,Annual,1,12.53,36.35,1,1,0,28,3.5,Morning,20,23,61.5,38.57,3,11,4,2,346.19,1
C00179,M,24,UK,Basic,Quarterly,1,38.71,79.85,2,1,1,20,2.9,Evening,24,16,170,33.71,2,33,2,0,4029.39,0
C00180,M,44,Germany,Standard,Annual,1,11.66,192.08,0,0,0,24,8.6,Evening,20,24,3.3,0.95,4,3,3,1,3024.07,0
C00181,M,28,Germany,Premium,Annual,1,9.09,187.99,0,1,0,14,0.3,Evening,13,23,142.9,132.45,3,26,5,0,3030.22,0
C00182,M,54,Canada,Basic,Quarterly,0,1.89,186.3,0,0,0,27,2.2,Afternoon,22,18,87.7,30.61,2,30,5,4,224,1
C00183,F,25,Canada,Basic,Monthly,1,3.96,41.98,0,0,0,21,9,Evening,24,24,198.4,35.25,2,-25,4,2,438.83,1
C00184,M,28,Germany,Premium,Annual,1,39.2,26.16,0,2,0,22,0.3,Afternoon,21,7,198.1,176.29,2,-27,5,1,1102.49,0
C00185,M,41,Canada,Basic,Quarterly,1,40.14,30.93,0,0,0,15,1.6,Afternoon,4,0,104.3,65.59,2,-19,2,2,1382.19,1
